url,name,price,rating,reviews,description,asin,product_description,manufacturer
/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWG91Q3,,₹448,4.0 out of 5 stars,,"Blue Tree Cute Kids Backpack Is A Perfect Backpack For Toddlers Or Kids Headed To Preschool, Daycare, Hiking, And Day Trips. This Bag Is Made Up Of High-Quality Finest Material Which Is Soft To Touch, Cute And Adorable, Perfect-Size For Little Ones, This Perfectly-Sized Zoo Pack Feature A Friendly Animal Face, Top Hanging Loop, Crafted Details. The Cartoon Backpack Is The Best Gift For Kids. Every Little Kid Wants Cute, Cool Animal Toddler Backpacks. Lovely Animals Attractive Design, Bright And Multi-Color. It Is Very Soft And Lightweight. The Super Lightweight Makes Your Kids Easy To Carry Around. The Padded Shoulder Straps Are Also Adjustable, Making Them Comfy For Little Shoulders.",,"Bags, Wallets and Luggage
            


             ›
         


                Bags & Backpacks
            


             ›
         


                 School Bags & Sets",
/Blue-Tree-Velvet-Spiderman-School/dp/B07HLYW3FF,,₹339,,,,,,
/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y,,₹295,4.3 out of 5 stars,,,,,
/Amazon-Brand-Solimo-so_flingyrqba_6-Gym/dp/B084DQ182R,,₹539,4.3 out of 5 stars,,,,,
/Backpack-Toddler-Animal-Cartoon-Travel/dp/B09H3H3898,,₹298,4.0 out of 5 stars,,,,"Bags, Wallets and Luggage
            


             ›
         


                Bags & Backpacks
            


             ›
         


                Backpacks
            


             ›
         


                 Casual Backpacks",
/Backpack-Toddler-Animal-Cartoon-Red-Stawberry/dp/B089WFG3BK,,₹278,4.0 out of 5 stars,,,,,
/Blue-Tree-Synthetic-Cartton-Minnie/dp/B07CXXYQ5X,,₹299,4.0 out of 5 stars,,,,,
/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",₹999,3.9 out of 5 stars,,,,,
/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",₹899,3.9 out of 5 stars,,"Safari Quill is a 26 Litres, 2 compartment laptop backpack perfect for daily usage. It has a dedicated tech safe laptop sleeve that can hold upto 17 inch laptop or any smaller ones easily. The laptop sleeve is also fully padded from the bottom protecting your device from any shock or damage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips.",,"Computers & Accessories
            


             ›
         


                Accessories & Peripherals
            


             ›
         


                Laptop Accessories
            


             ›
         


                Bags & Sleeves
            


             ›
         


                 Laptop Backpacks",
/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC,ADISA Laptop Backpack 31 Ltrs,₹499,4.0 out of 5 stars,,,,,
/Bennett-Mystic-Shoulder-Messenger-Repellent/dp/B08X2T2M8G,Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty,₹512,4.1 out of 5 stars,,,,,
/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",₹299,4.1 out of 5 stars,,,,"Bags, Wallets and Luggage
            


             ›
         


                Bags & Backpacks
            


             ›
         


                Backpacks
            


             ›
         


                 Casual Backpacks",
/Hilfiger-Joshua-Backpack-TH-JOSHUALAP01/dp/B07N8GRWTZ,Tommy Hilfiger Joshua 15 inch 21 Ltrs Light Grey Laptop Backpack (TH/JOSHUALAP07),"₹2,239",3.9 out of 5 stars,,,,"Computers & Accessories
            


             ›
         


                Accessories & Peripherals
            


             ›
         


                Laptop Accessories
            


             ›
         


                Bags & Sleeves
            


             ›
         


                 Laptop Backpacks",
/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=Ogy8g&content-id=amzn1.sym.c16802f7-e9f2-4a7a-ace2-b13748bc8783:amzn1.sym.c16802f7-e9f2-4a7a-ace2-b13748bc8783&pf_rd_p=c16802f7-e9f2-4a7a-ace2-b13748bc8783&pf_rd_r=W9EX971H018G29KQQW9Q&pd_rd_wg=OrMRW&pd_rd_r=a3c383dd-f41d-4dfd-95ac-c62a807993d5&qid=1675407532,,,,,,,,
/gp/help/customer/display.html?nodeId=200533820,,,,,,,,
/b/ref=sxts_spks_0_0_d1b13407-0df6-43f6-a6ba-66a65c6b6cff?node=21102587031&pd_rd_w=g0cBa&content-id=amzn1.sym.d1b13407-0df6-43f6-a6ba-66a65c6b6cff:amzn1.sym.d1b13407-0df6-43f6-a6ba-66a65c6b6cff&pf_rd_p=d1b13407-0df6-43f6-a6ba-66a65c6b6cff&pf_rd_r=JA2Y06BG6MZ051CD5D37&pd_rd_wg=br8W0&pd_rd_r=111ee96f-9857-4748-bf9a-01a670aee063&qid=1675407534,,,,,,,,
/gp/bestsellers/luggage/2917436031/ref=sr_bs_0_2917436031_1,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"₹1,299",4.1 out of 5 stars,,,,,
/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=ice_ac_b_dpb,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),₹565,4.3 out of 5 stars,,,,,
/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD,Skybags Brat Black 46 Cms Casual Backpack,₹669,4.1 out of 5 stars,,"Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack",,"Bags, Wallets and Luggage
            


             ›
         


                Bags & Backpacks
            


             ›
         


                Backpacks
            


             ›
         


                 Casual Backpacks",
